,tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
71,Table 1,2011,1,30194,34100,"Dallas/Fort Worth, TX","Philadelphia, PA",1302,1080.0,257.3652263374486,AA,0.4693415637860082,267.56330556773344,US,0.37304526748971195,253.50079977937122
72,Table 1,2011,1,30194,34492,"Dallas/Fort Worth, TX","Raleigh/Durham, NC",1062,491.6666666666667,246.05518644067797,AA,0.6614689265536723,260.303382302699,US,0.12994350282485875,244.08052173913043
73,Table 1,2011,1,30194,34524,"Dallas/Fort Worth, TX","Richmond, VA",1158,251.0,271.7812306330235,AA,0.7414785303231518,271.3486567164179,AA,0.7414785303231518,271.3486567164179
74,Table 1,2011,1,30194,34570,"Dallas/Fort Worth, TX","Reno, NV",1356,228.44444444444446,221.20967898832686,AA,0.6896887159533074,217.60042313117066,WN,0.129863813229572,201.0876404494382
75,Table 1,2011,1,30194,34614,"Dallas/Fort Worth, TX","Salt Lake City, UT",999,625.8888888888889,251.43484821587077,AA,0.49813598437777384,249.80014255167498,AA,0.49813598437777384,249.80014255167498
76,Table 1,2011,1,30194,34653,"Dallas/Fort Worth, TX","Tulsa, OK",237,414.0,139.06787439613527,WN,0.6132581857219538,141.2928227571116,AA,0.3752012882447665,136.0386981402003
77,Table 1,2011,1,30198,30852,"Pittsburgh, PA","Washington, DC (Metropolitan Area)",210,368.44444444444446,180.67445717732207,WN,0.5066344993968637,132.07970238095237,WN,0.5066344993968637,132.07970238095237
78,Table 1,2011,1,30198,32457,"Pittsburgh, PA","San Francisco, CA (Metropolitan Area)",2254,358.22222222222223,295.87735732009924,UA,0.36724565756823824,347.8314189189189,WN,0.19727047146401985,245.86525157232705
79,Table 1,2011,1,30198,33195,"Pittsburgh, PA","Tampa, FL (Metropolitan Area)",879,749.1111111111111,142.1263719964402,WN,0.5471670127558588,142.30908105177554,FL,0.2591219222782557,130.93073840870062
80,Table 1,2011,1,30198,33570,"Pittsburgh, PA","San Diego, CA",2106,207.33333333333334,204.72234726688103,WN,0.2834941050375134,199.6782608695652,CO,0.12808145766345122,166.9163179916318
81,Table 1,2011,1,30198,34027,"Pittsburgh, PA","West Palm Beach/Palm Beach, FL",952,212.55555555555554,169.06325143753267,US,0.41505488761108206,186.19193954659949,WN,0.2509147935180345,150.238125
82,Table 1,2011,1,30255,30852,"Huntsville, AL","Washington, DC (Metropolitan Area)",640,526.1111111111111,206.0159662090813,FL,0.43590285110876453,105.87102713178295,FL,0.43590285110876453,105.87102713178295
83,Table 1,2011,1,30255,31454,"Huntsville, AL","Orlando, FL",535,181.77777777777777,155.92402200488996,FL,0.71760391198044,126.31984667802385,FL,0.71760391198044,126.31984667802385
84,Table 1,2011,1,30257,30852,"Albany, NY","Washington, DC (Metropolitan Area)",325,459.22222222222223,175.05891604161627,WN,0.7454633438180498,134.00791950665368,WN,0.7454633438180498,134.00791950665368
85,Table 1,2011,1,30257,30977,"Albany, NY","Chicago, IL",723,212.66666666666666,211.5907001044932,UA,0.5052246603970741,217.8554291623578,WN,0.3991640543364681,194.9256544502618
86,Table 1,2011,1,30257,31454,"Albany, NY","Orlando, FL",1073,623.7777777777778,188.21881011756324,WN,0.8660491628072675,185.28210612916496,CO,0.016565728535803348,181.45591397849464
87,Table 1,2011,1,30257,31714,"Albany, NY","Fort Myers, FL",1204,151.22222222222223,229.19698750918442,WN,0.6120499632623071,224.2893157262905,WN,0.6120499632623071,224.2893157262905
88,Table 1,2011,1,30257,32211,"Albany, NY","Las Vegas, NV",2237,220.11111111111111,231.5171125694094,WN,0.7925290257445734,219.5215923566879,WN,0.7925290257445734,219.5215923566879
89,Table 1,2011,1,30257,32467,"Albany, NY","Miami, FL (Metropolitan Area)",1225,368.22222222222223,200.10660832830416,WN,0.7356668678334339,193.8792863002461,WN,0.7356668678334339,193.8792863002461
90,Table 1,2011,1,30257,33195,"Albany, NY","Tampa, FL (Metropolitan Area)",1130,322.44444444444446,196.86878015161957,WN,0.7787732598208132,195.98243362831857,DL,0.07133011716057891,165.80096618357487
91,Table 1,2011,1,30279,30194,"Amarillo, TX","Dallas/Fort Worth, TX",324,461.77777777777777,117.52449470644851,WN,0.7586621751684312,115.16898192197907,WN,0.7586621751684312,115.16898192197907
92,Table 1,2011,1,30279,31453,"Amarillo, TX","Houston, TX",538,183.11111111111111,206.08483009708738,WN,0.5479368932038835,195.64795127353267,WN,0.5479368932038835,195.64795127353267
93,Table 1,2011,1,30325,30198,"Denver, CO","Pittsburgh, PA",1290,265.3333333333333,268.5796063651591,UA,0.37520938023450584,347.6235491071429,WN,0.29731993299832493,193.42661971830987
94,Table 1,2011,1,30325,30285,"Denver, CO","Durango, CO",251,148.88888888888889,154.08328358208956,UA,0.6082089552238806,170.68711656441718,F9,0.3559701492537313,123.87589098532494
95,Table 1,2011,1,30325,30436,"Denver, CO","Tucson, AZ",639,596.3333333333334,119.74768026830631,WN,0.4421464505310229,106.31609776654024,F9,0.30072666294019007,104.68302354399009
96,Table 1,2011,1,30325,30466,"Denver, CO","Phoenix, AZ",602,3042.1111111111113,133.06963366083494,WN,0.45220789656305926,129.99004926904126,F9,0.2433617005734322,126.01211166141378
97,Table 1,2011,1,30325,30529,"Denver, CO","Hartford, CT",1671,280.55555555555554,200.13057425742574,WN,0.540990099009901,182.70775988286968,WN,0.540990099009901,182.70775988286968
98,Table 1,2011,1,30325,30559,"Denver, CO","Seattle, WA",1024,1354.0,156.8947644838339,F9,0.269981946495979,141.9917933130699,WN,0.20457902511078285,140.4214600882471
99,Table 1,2011,1,30325,30693,"Denver, CO","Nashville, TN",1013,634.0,165.42861899754644,WN,0.5222572730459166,159.07590604026845,F9,0.3438485804416404,156.4059123343527
100,Table 1,2011,1,30325,30852,"Denver, CO","Washington, DC (Metropolitan Area)",1491,2390.6666666666665,250.2297964305633,UA,0.3564788994236847,337.73126466753587,WN,0.31069901468674477,179.22293193717277
101,Table 1,2011,1,30325,30928,"Denver, CO","Wichita, KS",420,161.55555555555554,145.156121045392,UA,0.6292984869325997,156.60426229508198,F9,0.3156808803301238,120.29542483660131
102,Table 1,2011,1,30325,31123,"Denver, CO","St. Louis, MO",770,882.3333333333334,149.4327414683289,WN,0.5190782017378164,139.65487627365357,F9,0.2871174914998111,134.13026315789475
103,Table 1,2011,1,30325,31136,"Denver, CO","Jacksonville, FL",1447,263.1111111111111,187.28298141891892,DL,0.38809121621621623,179.93601741022852,WN,0.27744932432432434,163.52922374429224
104,Table 1,2011,1,30325,31295,"Denver, CO","Detroit, MI",1123,803.3333333333334,169.5240387275242,DL,0.43208852005532505,169.6895966709347,WN,0.1966804979253112,153.52946554149085
105,Table 1,2011,1,30325,31453,"Denver, CO","Houston, TX",883,1867.111111111111,177.67858843132586,CO,0.4673887169721495,184.61659027247262,F9,0.11610330873601524,145.84720656073807
106,Table 1,2011,1,30325,31454,"Denver, CO","Orlando, FL",1546,1347.111111111111,204.81937479379744,WN,0.3632464533157374,189.27370572207084,WN,0.3632464533157374,189.27370572207084
107,Table 1,2011,1,30325,31650,"Denver, CO","Minneapolis/St. Paul, MN",680,1468.4444444444443,143.13135593220338,DL,0.4475635593220339,143.12723584108198,WN,0.23070520581113801,125.31351262709084
108,Table 1,2011,1,30325,31703,"Denver, CO","New York City, NY (Metropolitan Area)",1659,2365.222222222222,254.36360219852492,UA,0.36017287546389815,298.3044606756228,F9,0.1471320524263635,201.2463282247765
109,Table 1,2011,1,30325,31714,"Denver, CO","Fort Myers, FL",1607,312.8888888888889,209.0881747159091,F9,0.3419744318181818,212.1651090342679,WN,0.13742897727272727,183.87209302325581
110,Table 1,2011,1,30325,31884,"Denver, CO","Spokane, WA",835,262.55555555555554,149.1076597545493,WN,0.4295387219636056,137.5695566502463,F9,0.2657638595006348,133.84792993630575
111,Table 1,2011,1,30325,31986,"Denver, CO","Grand Rapids, MI",1015,154.22222222222223,203.70266570605187,F9,0.510806916426513,174.7394922425952,F9,0.510806916426513,174.7394922425952
112,Table 1,2011,1,30325,32211,"Denver, CO","Las Vegas, NV",629,2430.0,129.4152583447645,WN,0.4634202103337906,121.73274790330538,WN,0.4634202103337906,121.73274790330538
113,Table 1,2011,1,30325,32337,"Denver, CO","Indianapolis, IN",977,575.4444444444445,160.78493917744737,WN,0.4244062560339834,148.94281164695178,WN,0.4244062560339834,148.94281164695178
114,Table 1,2011,1,30325,32457,"Denver, CO","San Francisco, CA (Metropolitan Area)",967,2700.777777777778,177.04377751265068,UA,0.41531246143086353,202.74732045567112,F9,0.13559879869996297,149.48155339805825
115,Table 1,2011,1,30325,32467,"Denver, CO","Miami, FL (Metropolitan Area)",1709,1350.4444444444443,214.14773737041304,WN,0.2757116998519006,181.72175470008952,WN,0.2757116998519006,181.72175470008952
